Site Folder,URL,Multimodal_Decision,Image Phish Score,Image_Decision,Text Phish Score,Text_Decision,Image Features,Text Features,Fused Features
jscpass.com,https://jscpass.com/att/index.php,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0009|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
live-chas.com,http://live-chas.com/ff,phishing,1.00,1,0.70,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0002|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
www.ohram.org,http://www.ohram.org/public/images/attributes/Rembour/667f5/sms.html,benign,0.00,0,0.33,0,1.00|0.00|0.68|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.4250|0.0000|0.2890|0.0000|0.0000|0.0000|0.0000|0.2125|0.0009|0.0000|0.4250|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
beta.websepet.com.tr_duplicate,http://beta.websepet.com.tr/moncompte-impots/espace-2020/sms1.htm,benign,0.00,0,0.33,0,1.00|0.00|0.68|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.4250|0.0000|0.2890|0.0000|0.0000|0.0000|0.0000|0.2125|0.0009|0.0000|0.4250|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
het-impp11.com,http://het-impp11.com/servi-mail-pro-webb111928270383jksddkjsdjks191171927282827383322/b32eb9b4e80af65ebc22006e39e5db9d/sms.html,benign,0.00,0,0.33,0,1.00|0.00|0.68|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.4250|0.0000|0.2890|0.0000|0.0000|0.0000|0.0000|0.2125|0.0009|0.0000|0.4250|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
www.ameli-account-connection.agip.net.pe,https://www.ameli-account-connection.agip.net.pe/8f7f7a8804ea33c/index.php,benign,0.00,0,0.41,0,1.00|0.00|0.67|0.00|0.00|0.00|1.00|0.50|0.01|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.41,0.3641|0.0000|0.2430|0.0000|0.0000|0.0000|0.3641|0.1821|0.0027|0.0000|0.3641|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2038|0.2038|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0832
changeseggplants.com,http://changeseggplants.com/chase/info/ccinfo.php,phishing,1.00,1,1.07,1,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0011|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
everestwebdevelopment.com,http://everestwebdevelopment.com/bag/php/gdikl/daum,phishing,1.00,1,0.70,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0007|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
incomeways.icu,https://incomeways.icu/vy-a/mbt,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0009|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
azurefetcherstorage.blob.core.windows.net,http://azurefetcherstorage.blob.core.windows.net/contentfreshnesshourlyslapiclick/snapshot-ec1cd585a6b303e8aef3ca65c63e077520200610222656,phishing,1.00,1,0.37,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0010|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2053|0.0000|0.2053|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0754
beta.websepet.com.tr,http://beta.websepet.com.tr/moncompte-impots/espace-2020/sms.html,benign,0.00,0,0.33,0,1.00|0.00|0.68|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.4250|0.0000|0.2890|0.0000|0.0000|0.0000|0.0000|0.2125|0.0009|0.0000|0.4250|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
aldhub.com,https://aldhub.com/limited/.../Agricole/authentication/,phishing,1.00,1,0.53,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0010|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
mail.pure-edge.co.za_duplicate,http://mail.pure-edge.co.za/dhl/my.dhl-com/my.dhl-com,phishing,1.00,1,1.07,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0009|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
assurancemaladiesd.000webhostapp.com,http://assurancemaladiesd.000webhostapp.com/amelis/ameliass/PortailAS/appmanager/PortailAS/amelipro,benign,0.00,0,0.20,0,1.00|0.00|0.66|0.00|0.00|0.00|0.00|0.50|0.01|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.4270|0.0000|0.2824|0.0000|0.0000|0.0000|0.0000|0.2135|0.0030|0.0000|0.4270|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
nitechsolution.com,http://nitechsolution.com/wp-content/upgrade/sample/Reembolso_Electronico.html,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0012|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
www.alghero-appartamento.com,http://www.alghero-appartamento.com/france/ind/sms.html,benign,0.00,0,0.20,0,1.00|0.00|0.67|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.4266|0.0000|0.2838|0.0000|0.0000|0.0000|0.0000|0.2133|0.0008|0.0000|0.4266|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
lubermo.com_duplicate,https://lubermo.com/wp-admin/user/chase/step1.php,phishing,1.00,1,0.87,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.87,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0008|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.1549|0.1549|0.0000|0.1549|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1343
karim-gawad.com,https://karim-gawad.com/wp-admin/css/colors/coffee/db/emiratee.htm,phishing,1.00,1,0.60,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.60,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0009|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.1638|0.0000|0.0000|0.1638|0.1638|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0976
nop-live.com.ng,https://nop-live.com.ng/bn,phishing,1.00,1,0.24,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0019|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
kwerkykidz.com,https://kwerkykidz.com/wp/vraitax%20(2)/vraitax/tax/96322/tax/taxb/desj/index2.php,phishing,1.00,1,0.24,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0015|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
mntruckclub.com,http://mntruckclub.com/whne/dren/,phishing,0.00,0,0.70,1,1.00|0.00|0.67|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.4261|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.2131|0.0008|0.0000|0.4261|0.0000|0.0000|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
bryanurbs.com_duplicate,http://bryanurbs.com/docusign/doc-new/,phishing,1.00,1,0.24,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0008|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
sheepzinn.com_duplicate,https://sheepzinn.com/fr/ag/sms-error.html,phishing,1.00,1,0.24,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0004|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
pure-edge.co.za_duplicate,http://pure-edge.co.za/dhl/my.dhl-com/my.dhl-com/,phishing,1.00,1,1.07,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0009|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
u7728649sf.ha004.t.justns.ru,http://u7728649sf.ha004.t.justns.ru/*/Caaa/b6307475b47c320a791d550e643d0193/,phishing,1.00,1,0.33,0,1.00|1.00|0.85|1.00|1.00|0.00|0.00|0.70|0.01|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.33,0.2342|0.2342|0.1991|0.2342|0.2342|0.0000|0.0000|0.1639|0.0017|0.0000|0.2342|0.1991|0.2342|0.0000|0.2342|0.0000|0.0000|0.2853|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0927
nireuhzuz.net,http://nireuhzuz.net/IMPOTS-GOUV/FR-FR6963IMPOTSGOUV4/260727d91e326fbd68b5e86ac33e3957,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0004|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
judithleoni.com,http://judithleoni.com/telecom-de/index.php,benign,0.00,0,0.24,0,1.00|0.00|0.66|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.4272|0.0000|0.2818|0.0000|0.0000|0.0000|0.0000|0.2136|0.0004|0.0000|0.4272|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
ip97.ip-54-36-17.eu,http://ip97.ip-54-36-17.eu/voice/login.html,phishing,1.00,1,1.07,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0009|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1209|0.1209|0.0000|0.1209|0.1209|0.1209|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1300
operabythelake.com_duplicate,http://operabythelake.com/remi/daum/daum.html,phishing,1.00,1,0.70,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0007|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
www.consultax.cl,https://www.consultax.cl/thecrowngroup/tcwoodinc/u.php,phishing,1.00,1,0.53,1,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.02|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0045|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
cctruth.org,http://cctruth.org/-/telekom/magyar/,benign,0.00,0,0.24,0,1.00|0.00|0.63|0.00|0.00|0.00|0.00|0.50|0.00|0.00|1.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.4304|0.0000|0.2706|0.0000|0.0000|0.0000|0.0000|0.2152|0.0008|0.0000|0.4304|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2916|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0706
backendproject.com,https://backendproject.com/jimcol/btele,phishing,1.00,1,0.37,0,1.00|1.00|0.85|1.00|1.00|1.00|1.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.2117|0.2117|0.1799|0.2117|0.2117|0.2117|0.2117|0.1482|0.0004|0.0000|0.2117|0.1799|0.2117|0.0000|0.2117|0.0000|0.0000|0.2053|0.0000|0.2053|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0754
yenikomshian.org_duplicate,http://yenikomshian.org/Ehsmomentum/jcroofingin/u.php,phishing,1.00,1,0.53,1,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.02|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0047|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
benorynfamiliekerk.co.za,http://benorynfamiliekerk.co.za/omoba/king/chase-update,phishing,1.00,1,0.20,0,1.00|1.00|0.85|1.00|1.00|1.00|0.00|0.70|0.00|0.00|1.00|0.85|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2221|0.2221|0.1888|0.2221|0.2221|0.2221|0.0000|0.1555|0.0010|0.0000|0.2221|0.1888|0.2221|0.0000|0.2221|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
