Site Folder,url,Multimodal_Decision,Image Phish Score,Image_Decision,Text Phish Score,Text_Decision,Image Features,Text Features,Fused Features
www.agrandfamilyadventure.com_duplicate,http://www.agrandfamilyadventure.com/wp-content/webmailplan,benign,0.0,0,0.68,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.68,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4462|0.0000|0.0000|0.4462|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3030
customer-eehelp.com,http://customer-eehelp.com/banks/bank.barclays.co.uk,benign,0.0,0,0.49,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.49,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4675|0.4675|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2300
geaswer.com_duplicate,https://geaswer.com/square,phishing,0.0,0,0.7,1,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2312
serviciosclientesmultired1bn.xyz,https://serviciosclientesmultired1bn.xyz/BNWeb/lnicio/,phishing,0.0,0,0.82,1,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.82,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2937|0.2937|0.2937|0.0000|0.2937|0.2937|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2423
bt.business.iurycosta.com,http://bt.business.iurycosta.com/2/bt3.htm,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
www.zonasegura1.bn.com.multiservicioswebther.com,https://www.zonasegura1.bn.com.multiservicioswebther.com/BNlWeb/lnicio/logins.do,benign,0.0,0,0.2,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.7000
mj7x.com,http://mj7x.com/news/wp-content/plugins/soo/login.php?&amp;amp;amp;id=7c26aae52a59ab1cbb70384f98121ec5b3a2a8ef45323246515ad0f23400a1ec4bbc9337354003e2f2d2cd39826d5968550c36dde4c8615199e9ac8f,phishing,0.0,0,0.7,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2312
co-host-listing-95130.casa,http://co-host-listing-95130.casa/login/loginsms.html,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
beautifulattendee.com,http://beautifulattendee.com/css/csd/aol$MV3/incorrect.php?rtWtTBF9p21LDRRcz0uq1n9hsJ4YpYWlWg8W9osv829LobcKPalCV8pMfr1MILrzbqgI9rOC7CFxpiHKMdYFsaptFvE82JWPgjP0,benign,0.0,0,0.37,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4791|0.0000|0.4791|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1758
www.sexologistdoctors.com,http://www.sexologistdoctors.com/wp-content/plugins/c8owdoefa3023jxtl23h4l7gwle1dk1x/45extracted/chronopost.fr/suivi/accueil/zodeznmy=/ifram2.php,phishing,0.0,0,1.07,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2821|0.2821|0.0000|0.2821|0.2821|0.2821|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3033
zonasegura1.bn.com.multiservicioswebther.com,https://zonasegura1.bn.com.multiservicioswebther.com/BNlWeb/lnicio/logins.do,phishing,0.0,0,1.2,1,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|1.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2566|0.2566|0.2566|0.2566|0.2566|0.2566|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3080
ee-billinginsupport.com,https://ee-billinginsupport.com/account,benign,0.0,0,0.35,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1664
login-eeweb.com,https://login-eeweb.com/,phishing,0.0,0,0.7,1,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2312
reynosemor.temp.swtest.ru_duplicate,http://reynosemor.temp.swtest.ru/abnb-listing-room-392493432/sms.html?jsp&scope=vr%2Cmessages_read%2Cmessages_write&state=&platform_onboarding=true,benign,0.0,0,0.47,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.47,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3900|0.0000|0.3900|0.0000|0.3900|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1837
alhanywheretowing.com,https://alhanywheretowing.com/BTserver,benign,0.0,0,0.35,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1664
reynosemor.temp.swtest.ru,http://reynosemor.temp.swtest.ru/abnb-listing-room-392493432/bnb.html,benign,0.0,0,0.37,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4791|0.0000|0.4791|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1758
fulljhuri.com,https://fulljhuri.com/amamx.us/83897346de0e2b4b43033283552ab059/amex-confirm-your-email-retry.php?BORw0KGgoAAAANSUhEUgAABUUAAAtGCAMAAADel1ENAAAABGdBTUEAALGPC/xhBQAAAAFzUkdCAK7OHOkAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAMAUExURURGSvr5+CEfHvv7+/Hx8Pb29v39/v///7sIJv/+/uzt7QEAAUlEP/zy6u/v7//9+DEyL0JDQ/P09Ovr6vrw5?&email=&BORw0KGgoAAAANSUhEUgAABUUAAAtGCAMAAADel1ENAAAABGdBTUEAALGPC/xhBQAAAAFzUkdCAK7OHOkAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAMAUExURURGSvr5+CEfHvv7+/Hx8Pb29v39/v///7sIJv/+/uzt7QEAAUlEP/zy6u/v7//9+DEyL0JDQ/P09Ovr6vrw5,phishing,0.0,0,0.82,1,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.82,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2937|0.2937|0.2937|0.0000|0.2937|0.2937|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2423
pa.sweet-thing.com_duplicate,https://pa.sweet-thing.com/.chss/update/webmail.php?userid=dodpears@ren-isac.net,benign,0.0,0,0.2,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.7000
via.bcpz0nasegurabetas.com,http://via.bcpz0nasegurabetas.com/app/template/login/waiting.php,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
ee-accountsecure.com,https://ee-accountsecure.com/billing.php?sslchannel=true&sessionid=RSlyBVbH4FXKSd19ZI8Dzgpkrhqy19pKmhKPBhoCqtAuteAWtX5Ryclltec0VNnzyxYoFsL9oGZCP0frCcgedQM6aYDOf5ZKCmV3KGDBBlKZweRjNm0CLMCKCfzBPmywBw,benign,0.0,0,0.37,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4791|0.0000|0.4791|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1758
secure-alaaskausa.dynip.org,http://secure-alaaskausa.dynip.org/email.html?cmd=login_submit&id=&session=,benign,0.0,0,0.53,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3863|0.0000|0.3863|0.3863|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2059
flying-wings-consultants.com_duplicate,http://flying-wings-consultants.com/wp-admin/includes/secured/m-login.php?&amp;amp?&amp;id=94d3cc5db763d482615ba06953d7d6edd8e7583d493179e57678602bfef068347b2afc134232d5abaa1fe76d5505a1195b3156637f4e5a3eff9a6502,phishing,0.0,0,1.07,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.07,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2821|0.2821|0.0000|0.2821|0.2821|0.2821|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3033
regularizacaixa.com,http://regularizacaixa.com/,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
plataformaenlineabn1.xyz,http://plataformaenlineabn1.xyz/,phishing,0.0,0,0.82,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.82,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2937|0.2937|0.2937|0.0000|0.2937|0.2937|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2423
plataforma-segwra-bnonline1.com_duplicate,http://plataforma-segwra-bnonline1.com/BNWeb/lnicio,phishing,0.0,0,0.82,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.82,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2937|0.2937|0.2937|0.0000|0.2937|0.2937|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2423
digidecorator.ir,https://digidecorator.ir/.well-known/pki-validation/bancor/3e3166c3817ec885beda02a5804ae74c,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
evmomsblog.com_duplicate,https://evmomsblog.com/NZ/ssl.asbcert/9e554946d533919564ea995df2c2fd8a,benign,0.0,0,0.35,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1664
giveaway-blockchain-com.preview-domain.com,http://giveaway-blockchain-com.preview-domain.com/phrase.html,benign,0.0,0,0.2,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.7000
seguranca-caixa.gov.br.lembrete-novoapp.es_duplicate,https://seguranca-caixa.gov.br.lembrete-novoapp.es/,benign,0.0,0,0.2,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.7000
www.ee-checkinfo.com_duplicate,https://www.ee-checkinfo.com/,benign,0.0,0,0.35,0,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.35,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2683|0.1342|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.4808|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1664
housekeepr.org,http://housekeepr.org/sharedocx/1/index.php,phishing,0.0,0,0.7,1,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.3304|0.3304|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.2312
